R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R12384	UDP-alpha-D-glucose:protopanaxadiol-type ginsenoside 3-O-glucosyltransferase (configuration-retaining); UDP-glucose + Ginsenoside C-K <=> UDP + Ginsenoside F2
R12385	UDP-alpha-D-glucose:3-O-glucosyl-protopanaxadiol-type ginsenoside 2''-O-glucosyltransferase; UDP-glucose + (20S)-Ginsenoside Rh2 <=> UDP + Ginsenoside Rg3
R12386	UDP-alpha-D-glucose:3-O-glucosyl-protopanaxadiol-type ginsenoside 2''-O-glucosyltransferase; UDP-glucose + Ginsenoside F2 <=> UDP + Ginsenoside Rd
R12387	UDP-alpha-D-glucose:ginsenoside F1 6-O-glucosyltransferase; UDP-glucose + Ginsenoside F1 <=> UDP + Ginsenoside Rg1
R12388	UDP-alpha-D-glucose:protopanaxatriol 6-O-glucosyltransferase; UDP-glucose + Protopanaxatriol <=> UDP + Ginsenoside Rh1
R12389	UDP-alpha-D-glucose:oleanolate 3-O-glucosyltransferase; UDP-glucose + Oleanolic acid <=> UDP + Oleanolate 3-O-beta-D-glucoside
R12390	O-acetyl-ADP-D-ribose carboxylesterase; 3''-O-Acetyl-ADP-D-ribose + H2O <=> ADP-ribose + Acetate
R12391	O-acetyl-ADP-D-ribose carboxylesterase; O-Acetyl-ADP-ribose + H2O <=> ADP-ribose + Acetate
R12392	2,4-diacetylphloroglucinol acetylhydrolase; 2,4-Diacetylphloroglucinol + H2O <=> 2-Acetylphloroglucinol + Acetate
R12393	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; ATP + Octadecanoic acid <=> Diphosphate + (Stearoyl)adenylate
R12394	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; (Stearoyl)adenylate + Peptidyl-carrier protein <=> AMP + Stearoyl-[(hydroxy)phthioceranic acid synthase]
R12395	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; ATP + Octadecanoic acid + Peptidyl-carrier protein <=> AMP + Diphosphate + Stearoyl-[(hydroxy)phthioceranic acid synthase]
R12396	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; ATP + Hexadecanoic acid <=> Diphosphate + (Palmitoyl)adenylate
R12397	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; (Palmitoyl)adenylate + Peptidyl-carrier protein <=> AMP + Palmitoyl-[(hydroxy)phthioceranic acid synthase]
R12398	palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase; ATP + Hexadecanoic acid + Peptidyl-carrier protein <=> AMP + Diphosphate + Palmitoyl-[(hydroxy)phthioceranic acid synthase]
R12399	cycloeucalenol:NADP+ 3-oxidoreductase; Cycloeucalenone + NADPH + H+ <=> Cycloeucalenol + NADP+
R12400	episterol:NADP+ 3-oxidoreductase; Episterone + NADPH + H+ <=> Episterol + NADP+
R12401	delta7-avenasterol:NADP+ 3-oxidoreductase; Avenastenone + NADPH + H+ <=> Delta7-Avenasterol + NADP+
R12402	3beta-hydroxysteroid:NADP+ 3-oxidoreductase; 3beta-Hydroxysteroid + NADP+ <=> 3-Oxosteroid + NADPH + H+
R12403	4alpha-methylzymosterol,ferrocytochrome-b5:oxygen oxidoreductase (hydroxylating); 4alpha-Methylzymosterol + 6 Ferrocytochrome b5 + 3 Oxygen + 6 H+ <=> 4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + 6 Ferricytochrome b5 + 4 H2O
R12404	4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol:NADP+ 3-oxidoreductase (decarboxylating); 4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NADP+ <=> Zymosterone + NADPH + H+ + CO2
R12405	zymosterol:NADP+ 3-oxidoreductase; Zymosterone + NADPH + H+ <=> Zymosterol + NADP+
R12406	3beta-hydroxysteroid-4alpha-carboxylate:NADP+ 3-oxidoreductase (decarboxylating); 3beta-Hydroxysteroid-4alpha-carboxylate + NADP+ <=> 3-Oxosteroid + CO2 + NADPH + H+
R12407	L-lysine,2-oxoglutarate:oxygen oxidoreductase (4-halogenating); L-Lysine + 2-Oxoglutarate + Oxygen + Cl- + H+ <=> 4-Chloro-L-lysine + Succinate + CO2 + H2O
R12408	4-chloro-L-lysine,hydrogen-donor:oxygen oxidoreductase; 4-Chloro-L-lysine + Reduced acceptor + Oxygen <=> 2-Amino-4-chloro-4-pentenoic acid + Acceptor + Formaldehyde + Ammonia + H2O
R12409	2-Amino-4-chloro-4-pentenoic acid <=> L-Propargylglycine + Cl- + H+
R12410	L-Propargylglycine + L-Glutamate <=> gamma-L-Glutamyl-L-propargylglycine
R12411	gamma-L-glutamyl-L-propargylglycine,2-oxoglutarate:oxygen oxidoreductase; gamma-L-Glutamyl-L-propargylglycine + 2-Oxoglutarate + Oxygen <=> L-gamma-Glutamyl-(3R)-L-beta-ethynylserine + Succinate + CO2
R12412	L-gamma-Glutamyl-(3R)-L-beta-ethynylserine + H2O <=> L-beta-Ethynylserine + L-Glutamate
R12413	L-Tryptophan + L-Phenylalanine <=> Cyclo(L-Trp-L-Phe)
R12414	S-adenosyl-L-methionine:cyclo(L-Trp-L-Phe) N-methyltransferase; Cyclo(L-Trp-L-Phe) + S-Adenosyl-L-methionine <=> N-Methyl-cyclo(L-Trp-L-Phe) + S-Adenosyl-L-homocysteine
R12415	2 N-Methyl-cyclo(L-Trp-L-Phe) <=> (-)-Ditryptophenaline
R12416	(9Z,12Z)-octadeca-9,12-dienoyl-[glycerolipid],ferrocytochrome b5:oxygen oxidoreductase (15,16 cis-dehydrogenating); Linoleoyl-[glycerolipid] + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> alpha-Linolenoyl-[glycerolipid] + 2 Ferricytochrome b5 + 2 H2O
R12417	Anthranilate + L-Tryptophan + L-Alanine + 3 ATP <=> Fumiquinazoline F + 3 AMP + 3 Diphosphate + H2O
R12418	Fumiquinazoline F + 3 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> Fumiquinazoline F-indoline-2',3'-diol + 3 [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R12419	Fumiquinazoline F-indoline-2',3'-diol + L-Alanine + ATP <=> Fumiquinazoline A + AMP + Diphosphate + H2O
R12420	Fumiquinazoline A + Oxygen <=> Fumiquinazoline C + Hydrogen peroxide
R12421	Fumiquinazoline C <=> Fumiquinazoline D
R12422	[2Fe-2S]-ferredoxin:NADP+ oxidoreductase; 2 Reduced [2Fe-2S] ferredoxin + NADP+ + H+ <=> 2 Oxidized [2Fe-2S] ferredoxin + NADPH
R12423	[lipoyl-carrier protein E2]-N6-(octanoyl)-L-lysine:[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster sulfurtransferase; [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster + 2 S-Adenosyl-L-methionine + 2 Reduced [2Fe-2S] ferredoxin + 8 H+ <=> Enzyme N6-(dihydrolipoyl)lysine + [Fe-S] cluster scaffold protein + 2 Hydrogen sulfide + 4 Fe2+ + 2 L-Methionine + 2 5'-Deoxyadenosine + 2 Oxidized [2Fe-2S] ferredoxin
R12424	[glycine cleavage system H]-N6-octanoyl-L-lysine:[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster sulfurtransferase; [Glycine cleavage system H]-N6-octanoyl-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster + 2 S-Adenosyl-L-methionine + 2 Reduced [2Fe-2S] ferredoxin + 8 H+ <=> Dihydrolipoylprotein + [Fe-S] cluster scaffold protein + 2 Hydrogen sulfide + 4 Fe2+ + 2 L-Methionine + 2 5'-Deoxyadenosine + 2 Oxidized [2Fe-2S] ferredoxin
R12425	[glycine cleavage system H]-N6-octanoyl-L-lysine:[lipoyl-carrier protein E2]-L-lysine octanoyltransferase; [Glycine cleavage system H]-N6-octanoyl-L-lysine + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine
R12426	[glycine cleavage system H]-N6-lipoyl-L-lysine:[lipoyl-carrier protein]-L-lysine lipoyltransferase; Lipoylprotein + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + Enzyme N6-(lipoyl)lysine
R12427	octanoyl-[acp]:lipoyl-carrier-protein-E2 N-octanoyltransferase; Octanoyl-[acp] + Lipoyl-carrier protein E2 <=> [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + Acyl-carrier protein
R12428	octanoyl-[acp]:glycine-cleavage-system-H N-octanoyltransferase; Octanoyl-[acp] + Glycine cleavage system H <=> [Glycine cleavage system H]-N6-octanoyl-L-lysine + Acyl-carrier protein
R12429	[lipoyl-carrier protein E2]-L-lysine:octanoate ligase (AMP-forming); ATP + Octanoic acid + Lipoyl-carrier protein E2 <=> [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + AMP + Diphosphate
R12430	octanoyl-[acp]:CoA S-octanoyltransferase; Octanoyl-[acp] + CoA <=> Octanoyl-CoA + Acyl-carrier protein
R12431	octanoyl-CoA:lipoyl-carrier-protein-E2 N-octanoyltransferase; Octanoyl-CoA + Lipoyl-carrier protein E2 <=> [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + CoA
R12432	[glycine cleavage system H]-N6-[(R)-dihydrolipoyl]-L-lysine:[lipoyl-carrier protein E2]-L-lysine dihydrolipoyltransferase; Dihydrolipoylprotein + Lipoyl-carrier protein E2 <=> Glycine cleavage system H + Enzyme N6-(dihydrolipoyl)lysine
R12433	[glycine cleavage system H]-L-lysine:(R)-lipoate ligase (AMP-forming); ATP + (R)-Lipoate + Glycine cleavage system H <=> Lipoylprotein + AMP + Diphosphate
R12434	ATP + Dihydrolipoate <=> Dihydrolipoyl-AMP + Diphosphate
R12435	Dihydrolipoyl-AMP + Lipoyl-carrier protein E2 <=> Enzyme N6-(lipoyl)lysine + AMP + 2 H+
R12436	L-Tryptophan + L-Histidine <=> Histidyltryptophyldiketopiperazine
R12437	Histidyltryptophyldiketopiperazine + Dimethylallyl diphosphate <=> Roquefortine D + Diphosphate
R12438	Histidyltryptophyldiketopiperazine <=> Dehydrohistidyltryptophyldiketopiperazine
R12439	Dehydrohistidyltryptophyldiketopiperazine + Dimethylallyl diphosphate <=> Roquefortine C + Diphosphate
R12440	Roquefortine D <=> Roquefortine C
R12441	Roquefortine C + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> Glandicoline A + 2 [Oxidized NADPH---hemoprotein reductase] + 3 H2O
R12442	Glandicoline A + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Glandicoline B + [Oxidized NADPH---hemoprotein reductase] + H2O
R12443	Glandicoline B + S-Adenosyl-L-methionine <=> Meleagrin + S-Adenosyl-L-homocysteine
R12444	Roquefortine C + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> N1-Hydroxy-roquefortine C + [Oxidized NADPH---hemoprotein reductase] + H2O
R12445	N1-Hydroxy-roquefortine C + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Roquefortine L + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R12446	Roquefortine L + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Glandicoline B + [Oxidized NADPH---hemoprotein reductase] + H2O
R12447	N1-Hydroxy-roquefortine C + S-Adenosyl-L-methionine <=> Roquefortine F + S-Adenosyl-L-homocysteine
R12448	Roquefortine F + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Neoxaline + [Oxidized NADPH---hemoprotein reductase] + H2O
R12449	[lipoyl-carrier protein E2]-L-lysine:(R)-lipoate ligase (AMP-forming); ATP + (R)-Lipoate + Lipoyl-carrier protein E2 <=> Enzyme N6-(lipoyl)lysine + AMP + Diphosphate
R12450	Lipoyl-AMP + Lipoyl-carrier protein E2 <=> Enzyme N6-(lipoyl)lysine + AMP
R12451	(hydroxymethyl)phosphonate:oxygen 1-oxidoreductase (formate-forming); Hydroxymethylphosphonate + Oxygen <=> Formate + Orthophosphate
R12452	methylphosphonate,2-oxoglutarate:oxygen oxidoreductase (1-hydroxylating); Methylphosphonate + 2-Oxoglutarate + Oxygen <=> Hydroxymethylphosphonate + Succinate + CO2
R12453	cyclohexane-1-carbonyl-CoA:NADP+ 1-oxidoreductase; Cyclohexane-1-carbonyl-CoA + NADP+ <=> Cyclohex-1-ene-1-carbonyl-CoA + NADPH + H+
R12454	Fe-coproporphyrin III + Hydrogen peroxide <=> Harderoheme III + CO2 + 2 H2O
R12455	Harderoheme III + Hydrogen peroxide <=> Heme + CO2 + 2 H2O
R12456	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (valerianol-forming); trans,trans-Farnesyl diphosphate + H2O <=> Valerianol + Diphosphate
R12457	methanethiol:NAD+ oxidoreductase (dimethyl disulfide-forming); 2 Methanethiol + NAD+ <=> Dimethyl disulfide + NADH + H+
R12458	S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase; S-Adenosyl-L-methionine + Cycloartenol <=> S-Adenosyl-L-homocysteine + Cyclolaudenol
R12459	protein N6,N6,N6-trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase; Protein N6,N6,N6-trimethyl-L-lysine + 2 2-Oxoglutarate + 2 Oxygen <=> Protein N6-methyl-L-lysine + 2 Succinate + 2 Formaldehyde + 2 CO2
R12460	protein N6,N6,N6-trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase; Protein N6,N6,N6-trimethyl-L-lysine + 2-Oxoglutarate + Oxygen <=> Protein N6,N6-dimethyl-L-lysine + Succinate + Formaldehyde + CO2
R12461	protein N6,N6,N6-trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase; Protein N6,N6,N6-trimethyl-L-lysine + 3 2-Oxoglutarate + 3 Oxygen <=> Protein lysine + 3 Succinate + 3 Formaldehyde + 3 CO2
R12462	protein-N6,N6-dimethyl-L-lysine:acceptor oxidoreductase (demethylating); Protein N6,N6-dimethyl-L-lysine + 2 Acceptor + 2 H2O <=> Protein lysine + 2 Formaldehyde + 2 Reduced acceptor
R12463	protein-N6,N6-dimethyl-L-lysine:acceptor oxidoreductase (demethylating); Protein N6,N6-dimethyl-L-lysine + Acceptor + H2O <=> Protein N6-methyl-L-lysine + Formaldehyde + Reduced acceptor
R12464	protein N6-methyl-L-lysine:acceptor oxidoreductase (demethylating); Protein N6-methyl-L-lysine + Acceptor + H2O <=> Protein lysine + Formaldehyde + Reduced acceptor
R12465	stearoyl-CoA:2-O-sulfo-alpha,alpha-trehalose 2'-stearoyltransferase; Stearoyl-CoA + 2-Sulfotrehalose <=> 2-O-Sulfo-2'-stearoyl-alpha,alpha-trehalose + CoA
R12466	palmitoyl-CoA:2-O-sulfo-alpha,alpha-trehalose 2'-palmitoyltransferase; Palmitoyl-CoA + 2-Sulfotrehalose <=> 2-O-Sulfo-2'-palmitoyl-alpha,alpha-trehalose + CoA
R12467	malonyl-CoA/(S)-methylmalonyl-CoA:4-nitrobenzoyl-CoA (methyl)malonyltransferase (demethylluteothin-forming); 4-Nitrobenzoyl-CoA + Malonyl-CoA + 4 (S)-Methylmalonyl-CoA + 4 NADPH + 4 H+ <=> Demethylluteothin + 5 CO2 + 6 CoA + 4 NADP+ + 3 H2O
R12468	malonyl-CoA/(S)-methylmalonyl-CoA:4-nitrobenzoyl-CoA (methyl)malonyltransferase (demethyldeoxyspectinabilin-forming); 4-Nitrobenzoyl-CoA + Malonyl-CoA + 6 (S)-Methylmalonyl-CoA + 6 NADPH + 6 H+ <=> Demethyldeoxyspectinabilin + 7 CO2 + 8 CoA + 6 NADP+ + 5 H2O
R12469	UDP-alpha-D-glucose:enterobactin 5'-C-beta-D-glucosyltransferase (configuration-inverting); UDP-glucose + Enterochelin <=> UDP + Monoglucosyl-enterobactin
R12470	UDP-alpha-D-glucose:monoglucosyl-enterobactin 5'-C-beta-D-glucosyltransferase (configuration-inverting); UDP-glucose + Monoglucosyl-enterobactin <=> UDP + Diglucosyl-enterobactin
R12471	UDP-alpha-D-glucose:diglucosyl-enterobactin 5'-C-beta-D-glucosyltransferase (configuration-inverting); UDP-glucose + Diglucosyl-enterobactin <=> UDP + Triglucosyl-enterobactin
R12472	GDP-alpha-D-mannose:inositol phospho-(2'R)-2'-hydroxyphytoceramide mannosyltransferase; GDP-mannose + Very-long-chain inositol phospho-(2'R)-2'-hydroxyphytoceramide <=> Very-long-chain mannosylinositol phospho-(2'R)-2'-hydroxyphytoceramide + GDP
R12473	apo-salmochelin esterase; Enterochelin + H2O <=> N-(2,3-Dihydroxybenzoyl)-L-serine trimer
R12474	apo-triglucosyl-salmochelin esterase; Triglucosyl-enterobactin + H2O <=> Triglucosyl-(2,3-dihydroxybenzoylserine)3
R12475	apo-diglucosyl-salmochelin esterase; Diglucosyl-enterobactin + H2O <=> Diglucosyl-(2,3-dihydroxybenzoylserine)3
R12476	apo-monoglucosyl-salmochelin esterase; Monoglucosyl-enterobactin + H2O <=> Monoglucosyl-(2,3-dihydroxybenzoylserine)3
R12477	Man9GlcNAc2-[protein]2-alpha-mannohydrolase (configuration-inverting); G00374 + H2O <=> G00272 + D-Mannose
R12478	Nalpha-acyl-L-glutamine amidohydrolase (carboxylate-forming); N-Acyl-L-glutamine + H2O <=> L-Glutamine + Carboxylate
R12479	G10694 + 3 H2O <=> G00012 + 3 D-Mannose
R12481	Bilirubin + Oxidised coenzyme F420-(gamma-Glu)n <=> Biliverdin + Reduced coenzyme F420-(gamma-Glu)n
R12482	UDP-D-glucuronate + Thomsen-Friedenreich antigen <=> UDP + Glucuronylated core 1 glycans (linear)
R12483	nepetalactol:NAD+ 1-oxidoreductase; (+)-cis,cis-Nepetalactol + NAD+ <=> (+)-cis,cis-Nepetalactone + NADH + H+
R12484	nepetalactol:NAD+ 1-oxidoreductase; cis-trans-Nepetalactol + NAD+ <=> Nepetalactone cis-trans-form + NADH + H+
R12485	isophthalate:CoA ligase (AMP-forming); ATP + Isophthalate + CoA <=> AMP + Diphosphate + Isophthalyl-CoA
R12486	isophthalyl-CoA carboxy-lyase; Isophthalyl-CoA <=> Benzoyl-CoA + CO2
R12487	(R)-3-(aryl)lactoyl-CoA hydro-lyase; (R)-Phenyllactyl-CoA <=> (E)-Cinnamoyl-CoA + H2O
R12488	(R)-3-(aryl)lactoyl-CoA hydro-lyase; (R)-3-(4-Hydroxyphenyl)lactoyl-CoA <=> p-Coumaroyl-CoA + H2O
R12489	(R)-3-(aryl)lactoyl-CoA hydro-lyase; (R)-3-(Indol-3-yl)lactoyl-CoA <=> 3-(Indol-3-yl)acryloyl-CoA + H2O
R12490	pre-sodorifen diphosphate-lyase [sodorifen-forming]; Pre-sodorifen diphosphate <=> Sodorifen + Diphosphate
R12491	4-amino-4-deoxychorismate pyruvatemutase; 4-Amino-4-deoxychorismate <=> 4-Amino-4-deoxyprephenate
R12492	(E)-4-coumaroyl-CoA:(R)-3-(4-hydroxyphenyl)lactate CoA-transferase; p-Coumaroyl-CoA + (R)-3-(4-Hydroxyphenyl)lactate <=> 4-Coumarate + (R)-3-(4-Hydroxyphenyl)lactoyl-CoA
R12493	3-(indol-3-yl)acryloyl-CoA:(R)-3-(indol-3-yl)lactate CoA-transferase; 3-(Indol-3-yl)acryloyl-CoA + (R)-(Indol-3-yl)lactate <=> 3-Indoleacrylate + (R)-3-(Indol-3-yl)lactoyl-CoA
R12494	marinolic acid:CoA ligase (AMP-forming); ATP + Marinolic acid <=> AMP + Diphosphate + Marinoloyl-CoA
R12495	marinolic acid:CoA ligase (AMP-forming); ATP + Pseudomonic acid <=> AMP + Diphosphate + Pseudomonoyl-CoA
R12496	long-chain acyl-CoA:sterol O-acyltransferase; Long-chain acyl-CoA + Sterol <=> CoA + Long-chain 3-hydroxysterol ester
R12497	S-adenosyl-L-methionine:cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} C-methyltransferase; 2 S-Adenosyl-L-methionine + Cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} + Reduced acceptor <=> S-Adenosyl-L-homocysteine + 5'-Deoxyadenosine + L-Methionine + Cytidine 5'-({hydroxy[(S)-2-hydroxypropyl]phosphonoyl}phosphate) + Acceptor
R12498	2-Hydroxyethylphosphonate + CTP <=> Cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} + Diphosphate
R12499	Cytidine 5'-({hydroxy[(S)-2-hydroxypropyl]phosphonoyl}phosphate) + H2O <=> (S)-2-Hydroxypropylphosphonate + CMP
R12500	queuosine34 in tRNA:acceptor oxidoreductase; tRNA queuine + Acceptor + H2O <=> Epoxyqueuosine in tRNA + Reduced acceptor
R12501	Indole-3-acetate + 2-Oxoglutarate + Oxygen <=> 2-Oxoindole-3-acetate + Succinate + CO2
R12502	D-apiofuranose:NAD+ 1-oxidoreductase; D-Apiofuranose + NAD+ <=> D-Apionolactone + NADH + H+
R12503	D-apionate:NAD+ oxidoreductase (isomerizing); D-Apionate + NAD+ <=> 3-Oxoisoapionate + NADH + H+
R12504	phenylacetate carboxy-lyase; Phenylacetic acid <=> Toluene + CO2
R12505	hydrogen sulfide:L-aspartate-4-semialdehyde sulfurtransferase; Hydrogen sulfide + L-Aspartate 4-semialdehyde + 2 Reduced ferredoxin + 2 H+ <=> L-Homocysteine + H2O + 2 Oxidized ferredoxin
R12506	L-arginine:L-lysine amidinotransferase; L-Arginine + L-Lysine <=> L-Ornithine + Homoarginine
R12507	L-glutamine:4-(methylsulfanyl)-2-oxobutanoate aminotransferase; L-Glutamine + 4-Methylthio-2-oxobutanoic acid <=> 2-Oxoglutaramate + L-Methionine
R12508	ubiquinol:oxygen oxidoreductase (superoxide-forming); 2 Oxygen + Ubiquinol <=> 2 Superoxide + Ubiquinone + 2 H+
R12509	7-deoxycylindrospermopsin,2-oxoglutarate:oxygen oxidoreductase (7-hydroxylating); 7-Deoxycylindrospermopsin + 2-Oxoglutarate + Oxygen <=> Cylindrospermopsin + Succinate + CO2
R12510	7-deoxycylindrospermopsin,2-oxoglutarate:oxygen oxidoreductase (7-hydroxylating); 7-Deoxycylindrospermopsin + 2-Oxoglutarate + Oxygen <=> 7-epi-Cylindrospermopsin + Succinate + CO2
R12511	L-proline betaine,NADH:oxygen oxidoreductase (formaldehyde-forming); Stachydrine + NADH + H+ + Oxygen <=> N-Methyl-L-proline + Formaldehyde + NAD+ + H2O
R12512	L-proline betaine,NADPH:oxygen oxidoreductase (formaldehyde-forming); Stachydrine + NADPH + H+ + Oxygen <=> N-Methyl-L-proline + Formaldehyde + NADP+ + H2O
R12513	(indol-3-yl)acetyl-L-aspartate amidohydrolase; (Indol-3-yl)acetyl-L-aspartate + H2O <=> Indole-3-acetate + L-Aspartate
R12514	cysteinylglycine-S-conjugate dipeptide hydrolase; R-S-Cysteinylglycine + H2O <=> L-Cysteine-S-conjugate + Glycine
R12515	ethyl acetate acetohydrolase; Ethyl acetate + H2O <=> Acetate + Ethanol
R12516	3-methylbutyl acetate acetohydrolase; Isoamyl acetate + H2O <=> 3-Methylbutanol + Acetate
R12517	(S)-8-oxocitronellyl enol:NAD+ oxidoreductase; (6E)-8-Oxogeranial + NADH + H+ <=> (S)-8-Oxocitronellyl enol + NAD+
R12518	(S)-8-oxocitronellyl enol:NADP+ oxidoreductase; (6E)-8-Oxogeranial + NADPH + H+ <=> (S)-8-Oxocitronellyl enol + NADP+
R12519	(R)-8-oxocitronellyl enol:NADP+ oxidoreductase; (6E)-8-Oxogeranial + NADPH + H+ <=> (R)-8-Oxocitronellyl enol + NADP+
R12520	(S)-8-oxocitronellyl enol cyclase [(+)-cis,trans-nepetalactol-forming]; (S)-8-Oxocitronellyl enol <=> cis-trans-Nepetalactol
R12521	(S)-8-oxocitronellyl enol cyclase [(+)-cis,cis-nepetalactol-forming]; (S)-8-Oxocitronellyl enol <=> (+)-cis,cis-Nepetalactol
R12522	(+)-(1S,2S)-pseudoephedrine:NAD+ 1-oxoreductase; (+)-(1S,2S)-Pseudoephedrine + NAD+ <=> (S)-2-Methylamino-1-phenylpropan-1-one + NADH + H+
R12523	4-amino-4-deoxyprephenate:NAD+ oxidoreductase (decarboxylating); 4-Amino-4-deoxyprephenate + NAD+ <=> 3-(4-Aminophenyl)pyruvate + NADH + CO2 + H+
R12524	(2E,6E)-farnesyl diphosphate 10-C-methyltransferase (cyclyzing, pre-sodorifen diphosphate producing); S-Adenosyl-L-methionine + trans,trans-Farnesyl diphosphate <=> S-Adenosyl-L-homocysteine + Pre-sodorifen diphosphate
R12525	GDP-alpha-D-mannose:[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol 2-alpha-mannosyltransferase (configuration-retaining); 2 GDP-mannose + [alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol <=> 2 GDP + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
R12526	GDP-alpha-D-mannose:alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase (configuration-retaining); 2 GDP-mannose + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol <=> 2 GDP + [alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)]n-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-Man-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
R12527	sucrose:(1->3)-alpha-D-glucan 3-alpha-D-glucosyltransferase; Sucrose + 1,3-alpha-D-Glucan(n) <=> D-Fructose + 1,3-alpha-D-Glucan(n+1)
R12528	sucrose:(1->6)-alpha-D-glucan 2-alpha-D-glucosyl-transferase; Sucrose + Dextran <=> D-Fructose + (1->6)-alpha-D-Glucan containing a (1->2)-alpha-D-glucose branch
R12529	DP-alpha-D-mannose:(1->2)-beta-D-mannan mannosyltransferase (configuration-inverting); GDP-mannose + 1,2-beta-Oligomannan(n) <=> GDP + 1,2-beta-Oligomannan(n+1)
R12530	ATP:amicoumacin A 2-phosphotransferase; ATP + Amicoumacin A <=> ADP + Amicoumacin A 2-phosphate
R12531	amicoumacin 2-phosphate phosphohydrolase; Amicoumacin A 2-phosphate + H2O <=> Amicoumacin A + Orthophosphate
R12532	8-oxo-GTP diphosphohydrolase; 8-Oxo-GTP + H2O <=> 8-Oxo-GDP + Orthophosphate
