,kegg_code,organism,kingdom,lineage
T09227,fsh,Fervidibacter sacchari,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Fervidibacter
T02948,dpb,Candidatus Babela massiliensis,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Babela
T08204,cdes,Candidatus Chromulinivorax destructor,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Chromulinivorax
T07973,vpm,Vermiphilus pyriformis,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Vermiphilus
T04457,tmg,Candidate division TM6 bacterium GW2011_GWF2_28_16,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T02947,wwe,Candidate division WWE3 bacterium RAAC2_WWE3_1,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T03988,bgw,Candidate division Kazan bacterium GW2011_GWA1_50_15,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T03992,bbgw,Berkelbacteria bacterium GW2011_GWE1_39_12,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T04022,mib,Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T04464,wba,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T04023,pwo,Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T04488,cgw,Candidatus Campbellbacteria bacterium GW2011_OD1_34_28,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T09896,kbn,Candidatus Kaiserbacteria bacterium NC_groundwater_79_Ag_B-0.1um_58_26,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T09897,nbn,Candidatus Niyogiibacteriota bacterium NC_groundwater_707_Ag_S-0.2um_45_26,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T10142,fbn,Candidatus Falkowbacteria bacterium NC_groundwater_1683_Pr3_B-0.1um_40_26,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T10159,gbg,Candidatus Giovannonibacteria bacterium NC_groundwater_467_Ag_B-0.1um_47_26,Prokaryotes,Prokaryotes;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla
T04673,baab,Bacterium AB1,Prokaryotes,Prokaryotes;Bacteria;unclassified Bacteria
T00003,mja,Methanocaldococcus jannaschii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T00976,mfe,Methanocaldococcus fervens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T01105,mvu,Methanocaldococcus vulcanius,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T01175,mfs,Methanocaldococcus sp. FS406-22,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T01234,mif,Methanocaldococcus infernus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T03253,mjh,Methanocaldococcus bathoardescens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T07631,mesg,Methanocaldococcus lauensis SG7,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T07808,mesa,Methanocaldococcus lauensis SG1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocaldococcus
T01510,mig,Methanotorris igneus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanotorris
T00164,mmp,Methanococcus maripaludis S2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T00491,mmq,Methanococcus maripaludis C5,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T00615,mmx,Methanococcus maripaludis C6,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T00553,mmz,Methanococcus maripaludis C7,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T01584,mmd,Methanococcus maripaludis X1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T03692,mmak,Methanococcus maripaludis KA1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T03693,mmao,Methanococcus maripaludis OS7,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T06430,mmad,Methanococcus maripaludis DSM 2067,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T00552,mae,Methanococcus aeolicus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T00554,mvn,Methanococcus vannielii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T01251,mvo,Methanococcus voltae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcus
T01534,mok,Methanothermococcus okinawensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermococcus
T06169,metf,Methanofervidicoccus sp. A16,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanofervidicoccus
T00009,mth,Methanothermobacter thermautotrophicus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T01297,mmg,Methanothermobacter marburgensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T04587,mwo,Methanothermobacter wolfeii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T08102,mtee,Methanothermobacter tenebrarum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T04009,metc,Methanothermobacter sp. CaT2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T05328,mete,Methanothermobacter sp. EMTCatA1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T05694,metz,Methanothermobacter sp. MT-2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T06317,metk,Methanothermobacter sp. KEPCO-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T06420,mthm,Methanothermobacter sp. THM-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T07724,metj,Methanothermobacter sp. THM-2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermobacter
T00313,mst,Methanosphaera stadtmanae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosphaera
T05504,metb,Methanosphaera sp. BMS,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosphaera
T09686,meis,Methanosphaera sp. ISO3-F5,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosphaera
T01166,mru,Methanobrevibacter ruminantium,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T00539,msi,Methanobrevibacter smithii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T02687,meb,Methanobrevibacter sp. AbM4,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T04203,mmil,Methanobrevibacter millerae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T04279,meye,Methanobrevibacter sp. YE315,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T04385,mol,Methanobrevibacter olleyae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T07510,maro,Methanobrevibacter arboriphilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T08254,metv,Methanobrevibacter sp. TLL-48-HuF1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobrevibacter
T01437,mel,Methanobacterium lacus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T01509,mew,Methanobacterium paludis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T02957,meth,Methanobacterium sp. MB1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T03396,mfc,Methanobacterium formicicum BRM9,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T03743,mfi,Methanobacterium formicicum DSM1535,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T04503,mcub,Methanobacterium congolense,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T05275,msub,Methanobacterium subterraneum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T05317,metn,Methanobacterium sp. MZ-A1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T05692,mett,Methanobacterium sp. BRmetb2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T05745,meto,Methanobacterium sp. BAmetb5,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T07794,meme,Methanobacterium alkalithermotolerans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T09214,mfeg,Methanobacterium ferruginis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T10395,meer,Methanobacterium sp. ERen5,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T10862,mrid,Methanobacterium aridiramus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T11310,meac,Methanobacterium sp. ACI-7,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanobacterium
T01351,mfv,Methanothermus fervidus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothermus
T00078,mka,Methanopyrus kandleri,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanopyrus
T00011,afu,Archaeoglobus fulgidus DSM 4304,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Archaeoglobus
T03231,afg,Archaeoglobus fulgidus DSM 8774,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Archaeoglobus
T01152,apo,Archaeoglobus profundus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Archaeoglobus
T01451,ave,Archaeoglobus veneficus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Archaeoglobus
T02642,ast,Archaeoglobus sulfaticallidus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Archaeoglobus
T01172,fpl,Ferroglobus placidus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Ferroglobus
T03507,gac,Geoglobus acetivorans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Geoglobus
T03939,gah,Geoglobus ahangari,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Geoglobus
T00075,pfu,Pyrococcus furiosus DSM 3638,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T02183,pfi,Pyrococcus furiosus COM1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T00014,pho,Pyrococcus horikoshii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T00024,pab,Pyrococcus abyssi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T01487,pyn,Pyrococcus sp. NA2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T01543,pya,Pyrococcus yayanosii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T02124,pys,Pyrococcus sp. ST04,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T04365,pyc,Pyrococcus kukulkanii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T11319,pwe,Pyrococcus woesei,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Pyrococcus
T00226,tko,Thermococcus kodakarensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T00789,ton,Thermococcus onnurineus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T00920,tga,Thermococcus gammatolerans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T00928,tsi,Thermococcus sibiricus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T01377,tba,Thermococcus barophilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T01588,the,Thermococcus sp. 4557,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T01638,tha,Thermococcus sp. AM4,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T02169,thm,Thermococcus cleftensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T02800,tlt,Thermococcus litoralis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T03005,ths,Thermococcus paralvinellae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T03065,tnu,Thermococcus nautili,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T03421,teu,Thermococcus eurythermalis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T04184,tgy,Thermococcus guaymasensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T04245,thv,Thermococcus sp. 2319x1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T04536,tch,Thermococcus chitonophagus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T04728,tpep,Thermococcus peptonophilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T04941,tpie,Thermococcus piezophilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05047,tgg,Thermococcus gorgonarius,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05076,tce,Thermococcus celer,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05081,tbs,Thermococcus barossii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05088,thh,Thermococcus sp. 5-4,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05103,tsl,Thermococcus siculi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05104,ttd,Thermococcus thioreducens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05153,tprf,Thermococcus profundus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05177,trl,Thermococcus radiotolerans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05192,tpaf,Thermococcus pacificus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T05739,thy,Thermococcus sp. P6,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T07099,tic,Thermococcus indicus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T07551,tcq,Thermococcus camini,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T07677,them,Thermococcus aciditolerans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T08316,thei,Thermococcus argininiproducens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T10933,tagg,Thermococcus aggregans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Thermococcus
T03210,ppac,Palaeococcus pacificus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Palaeococcus
T00271,mba,Methanosarcina barkeri Fusaro,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03838,mby,Methanosarcina barkeri MS,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03839,mbw,Methanosarcina barkeri Wiesmoor,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03914,mbar,Methanosarcina barkeri 227,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T04533,mbak,Methanosarcina barkeri 3,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T00080,mac,Methanosarcina acetivorans,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T00082,mma,Methanosarcina mazei Go1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T02477,mmaz,Methanosarcina mazei Tuc01,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T04532,mmj,Methanosarcina mazei S-6,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T04626,mmac,Methanosarcina mazei C16,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03815,mvc,Methanosarcina vacuolata,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03821,mek,Methanosarcina sp. Kolksee,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03822,mls,Methanosarcina lacustris,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03850,metm,Methanosarcina sp. MTP4,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03851,mef,Methanosarcina sp. WH1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03852,meq,Methanosarcina sp. WWM596,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03863,msj,Methanosarcina siciliae C2J,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03864,msz,Methanosarcina siciliae HI350,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03865,msw,Methanosarcina siciliae T4/M,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03892,mthr,Methanosarcina thermophila TM-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03891,mthe,Methanosarcina thermophila CHTI-55,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T03933,mhor,Methanosarcina horonobensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T05666,mfz,Methanosarcina flavescens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T10775,mhab,Methanosarcina hadiensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T10855,metw,Methanosarcina sp. 795,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosarcina
T00341,mbu,Methanococcoides burtonii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcoides
T03913,mmet,Methanococcoides methylutens,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcoides
T08012,melo,Methanococcoides orientis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanococcoides
T01211,mmh,Methanohalophilus mahii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanohalophilus
T04572,mhaz,Methanohalophilus halophilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanohalophilus
T09768,mpot,Methanohalophilus portucalensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanohalophilus
T01261,mev,Methanohalobium evestigatum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanohalobium
T01541,mzh,Methanosalsum zhilinae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosalsum
T02280,mpy,Methanolobus psychrophilus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanolobus
T06665,mzi,Methanolobus zinderi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanolobus
T09569,mmav,Methanolobus mangrovi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanolobus
T09570,mseb,Methanolobus sediminis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanolobus
T02418,mhz,Methanomethylovorans hollandica,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanomethylovorans
T09450,mehf,Methanimicrococcus hongohii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanimicrococcus
T09451,mees,Methanimicrococcus stummii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanimicrococcus
T00417,mtp,Methanothrix thermoacetophila,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothrix
T01468,mcj,Methanothrix soehngenii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothrix
T01990,mhi,Methanothrix harundinacea,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanothrix
T00325,mhu,Methanospirillum hungatei,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanospirillum
T07306,mrtj,Methanospirillum purgamenti,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanospirillum
T11317,mlaa,Methanospirillum lacunae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanospirillum
T11318,mstm,Methanospirillum stamsii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanospirillum
T00472,mla,Methanocorpusculum labreanum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocorpusculum
T00477,mem,Methanoculleus marisnigri,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T02189,mbg,Methanoculleus bourgensis MS2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T04314,mema,Methanoculleus bourgensis MAB1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T07488,mchk,Methanoculleus chikugoensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T08553,msum,Methanoculleus submarinus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T09536,mrc,Methanoculleus receptaculi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoculleus
T01312,mpi,Methanolacinia petrolearia,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanolacinia
T08358,mend,Methanoplanus endosymbiosus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoplanus
T09667,mefw,Methanochimaera problematica,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanochimaera
T08618,maqe,Methanofollis aquaemaris,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanofollis
T09788,mfk,Methanofollis formosanus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanofollis
T08653,mou,Methanogenium organophilum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanogenium
T09590,mesb,Methanogenium sp. S4BF,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanogenium
T08973,manq,Methanomicrobium antiquum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanomicrobium
T00578,mbn,Methanoregula boonei,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoregula
T02392,mfo,Methanoregula formicica,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoregula
T09978,mesk,Methanoregula sp. SKADARSKE-2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanoregula
T00823,mpl,Methanosphaerula palustris,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanosphaerula
T01142,mpd,Methanocella paludicola,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocella
T01774,mez,Methanocella conradii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocella
T00526,rci,Methanocella arvoryzae,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanocella
T09964,mjk,Candidatus Methanospirare jalkutatii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Methanospirare
T00038,hal,Halobacterium salinarum NRC-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T00662,hsl,Halobacterium salinarum R1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T07949,hanr,Halobacterium salinarum NRC-34001,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T03878,hdl,Halobacterium sp. DL1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T04202,hhb,Halobacterium hubeiense,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T07117,hags,Halobacterium sp. GSL-19,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T07284,habo,Halobacterium sp. BOL4-2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T07823,hno,Halobacterium noricense,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T07867,hlu,Halobacterium litoreum,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T10641,hanx,Halobacterium sp. NMX12-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halobacterium
T04517,halh,Halodesulfurarchaeum formicicum HTSR1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halodesulfurarchaeum
T04550,hhsr,Halodesulfurarchaeum formicicum HSR6,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halodesulfurarchaeum
T03927,hsu,Halanaeroarchaeum sulfurireducens HSR2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halanaeroarchaeum
T04261,hsf,Halanaeroarchaeum sulfurireducens M27-SA2,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halanaeroarchaeum
T09490,hahs,Halanaeroarchaeum sp. HSR-CO,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halanaeroarchaeum
T06128,salr,Salarchaeum sp. JOR-1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Salarchaeum
T06674,halr,Halarchaeum sp. CBA1220,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halarchaeum
T01271,hje,Halalkalicoccus jeotgali,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halalkalicoccus
T08074,hdo,Halococcus dombrowskii,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halococcus
T08097,halx,Halorussus limi,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halorussus
T08255,haxz,Halorussus gelatinilyticus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halorussus
T09338,hayc,Halorussus salilacus,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halorussus
T09372,haxy,Halorussus vallis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Halorussus
T02693,sali,Salinarchaeum sp. Harcht-Bsk1,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Salinarchaeum
T07444,saim,Salinarchaeum sp. IM2453,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Salinarchaeum
T07875,hara,Natranaeroarchaeum sulfidigenes,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Natranaeroarchaeum
T00211,hma,Haloarcula marismortui ATCC 43049,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
T07272,hsin,Haloarcula marismortui ATCC 33800,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
T01597,hhi,Haloarcula hispanica ATCC 33960,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
T02949,hhn,Haloarcula hispanica N601,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
T03645,hab,Haloarcula sp. CBA1115,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
T05292,hta,Haloarcula taiwanensis,Prokaryotes,Prokaryotes;Archaea;Methanobacteriota;Haloarcula
